id,userId,searchDate,networkCount,reason
02b3465b-2840-4d84-b25f-33244df3eb93,***,2026-07-11T16:20:52.664Z,134,Investigation
84708bdf-8c8e-40f6-a610-0d02cabd2467,***,2026-07-11T21:01:55.074Z,2406,Investigation
212b3cb3-1d4a-41f8-8a66-b8ded4340b27,***,2026-07-11T22:15:00.782Z,2489,Investigation
1eb72a76-a5c4-48fb-8d3d-bfea97461284,***,2026-07-12T02:04:09.614Z,2489,Investigation
4dba8477-9552-4a8f-a079-3315c9b75b35,***,2026-07-12T21:13:00.156Z,2405,Investigation
46253d42-d774-435b-8059-e9a14c79ceb1,***,2026-07-13T07:34:52.027Z,1,Investigation
329adf6d-f0f8-403d-a47b-1887b87d7fe4,***,2026-07-13T10:02:53.776Z,1,Investigation
6e48c5ec-5a15-42a9-9353-e145e05f896c,***,2026-07-13T11:07:41.494Z,2488,Investigation
d49b5c5b-45f9-43e6-9b60-586190d15050,***,2026-07-13T11:58:16.525Z,1,Investigation
aae47834-747c-4b62-86f8-d12342dddaf8,***,2026-07-13T12:09:06.922Z,2488,Investigation
3ddda771-facf-44bd-af1f-ada69469b7f5,***,2026-07-13T13:18:43.668Z,2488,Investigation
686b1950-be58-4092-85bb-0174c1ce3177,***,2026-07-13T17:14:04.418Z,2404,Investigation
8b1f125c-c052-481a-ae5a-dc25ea2c2cf2,***,2026-07-13T17:52:26.412Z,1,Investigation
e8dbc738-dc3d-4bbe-8ee0-5e4cbdad1c2f,***,2026-07-13T18:32:31.225Z,6292,Investigation
3b641cff-31d8-48cb-a2d6-c58ab0329c6e,***,2026-07-13T19:41:49.459Z,2487,Investigation
df4662e3-d3e2-4b75-99e2-5a4c8802369c,***,2026-07-13T20:51:39.014Z,6292,Investigation
b65e560b-046e-4bbb-ad35-f0c7be7b1de5,***,2026-07-13T21:28:20.360Z,1,Investigation
76d27e24-7b58-4817-b7a9-a50aa7575682,***,2026-07-14T12:37:38.315Z,2486,Investigation
3f238ba4-acc8-447f-b8ea-0e1044e8dc07,***,2026-07-14T13:05:32.697Z,134,Investigation
48d8d924-30db-4b9e-ab02-bff47acb10d1,***,2026-07-14T14:09:35.079Z,2486,Investigation
a33bd4a7-d182-41de-bd6a-f5dfdc57c07b,***,2026-07-14T16:41:53.265Z,134,Investigation
4d6e24d8-53c1-46bd-8402-0c37aa631aeb,***,2026-07-14T17:40:15.099Z,1,Investigation
90397596-4318-4325-8f8f-87d1c9ed7230,***,2026-07-14T18:15:53.443Z,2402,Investigation
7db7241d-3a98-4bd2-a6da-4c8abeb25b8e,***,2026-07-14T18:24:15.575Z,2484,Investigation
c1bcc7fe-5906-4753-8742-1da9b4e95783,***,2026-07-14T18:34:40.616Z,1,Investigation
11f4202b-fb2b-411b-b453-3405e156ffff,***,2026-07-14T19:07:51.954Z,1,Investigation
eb7f036d-6b2f-4ac7-9e1a-c6f2ab578a49,***,2026-07-14T19:26:27.812Z,1,Investigation
c88c3e97-6e44-45f0-b0aa-c4d36ca7887f,***,2026-07-14T19:27:14.484Z,134,Investigation
3719381b-4822-469e-9856-d9b358bd99cb,***,2026-07-14T19:27:37.740Z,2484,Investigation
169dba43-edfa-4365-b517-69bbb05404c5,***,2026-07-14T20:09:01.691Z,6290,Investigation
628395d7-476c-417e-9093-bb93b7002d9e,***,2026-07-14T20:22:57.117Z,2484,Investigation
9ac75f1e-755a-4697-9eac-f57a496f3c3b,***,2026-07-14T20:28:30.868Z,6290,Investigation
42c10b9d-c035-4bb6-8f1c-c1652dfb11c1,***,2026-07-14T21:29:45.062Z,6289,Investigation
e139051f-61ee-4277-9597-2de9ad588c80,***,2026-07-14T22:33:01.360Z,2484,Investigation
88c1b7d9-6869-4f35-ad7a-c791deba0e54,***,2026-07-15T14:33:10.869Z,1,Investigation
2a9fef49-b3fa-41b9-abfb-316d55b42301,***,2026-07-15T16:04:39.303Z,6288,Investigation
02d3f4e8-0547-4c82-9b2e-836a077db84b,***,2026-07-15T17:42:10.781Z,2483,Investigation
5dbc66e0-682b-4853-a948-9d44e1b69769,***,2026-07-15T22:02:50.916Z,134,Investigation
fc4833dd-9fcd-43c5-9a77-47e4f468a3cb,***,2026-07-16T04:28:15.928Z,2483,Investigation
abf203d1-bf2a-4b25-aa5b-c824a39677da,***,2026-07-16T10:31:51.479Z,2483,Investigation
9e6dc69d-66e6-43b9-a8a2-b89f272d1378,***,2026-07-16T11:55:29.108Z,2482,Investigation
f84c4caf-24c5-43cb-becd-2967d14f9aab,***,2026-07-16T18:51:38.493Z,1,Investigation
ac563c34-905d-47d0-8b49-4479d00c29c6,***,2026-07-16T19:02:16.260Z,2481,Investigation
e2bad6aa-76b7-4df5-8d96-993eba604aff,***,2026-07-17T07:51:09.079Z,1,Investigation
2bbbfd94-4902-414f-b301-fb7babc835f9,***,2026-07-17T14:30:24.101Z,2399,Investigation
9775344f-4bc3-432e-b8e9-8bfbd4784464,***,2026-07-17T15:16:29.898Z,2481,Investigation
9ddb08d1-2e37-4daa-90f5-4425c4fb76ee,***,2026-07-17T16:11:35.997Z,2481,Investigation
6323e3e0-fd1a-41d6-937e-24e7606ed0e3,***,2026-07-17T18:17:33.505Z,2481,Investigation
af8e9aa0-55e3-4702-8c9e-8879c1934ced,***,2026-07-17T19:56:04.202Z,6293,Investigation
00f6567a-4adc-401b-91fb-b0224fcf2963,***,2026-07-17T23:29:57.839Z,134,Investigation
8090bbd1-28da-4e92-b4f7-817e1d266ec6,***,2026-07-18T00:01:54.277Z,2398,Investigation
5b896030-3f22-4b6c-9cea-dd94f40ddb94,***,2026-07-18T15:02:53.210Z,134,Investigation
b838e3db-750b-4116-91fb-3b329d141ff4,***,2026-07-18T21:17:18.139Z,134,Investigation
89d99639-da80-44be-9dd2-6844e59d12d1,***,2026-07-18T21:21:58.457Z,2479,Investigation
